no,Jenis Ikan,Jumlah Ikan per Kolam,Jumlah Benih per Kolam,Harga Benih per Kolam (Rp),Harga Benih per Ekor (Rp),Tanggal Penyeburan Benih,Total Pakan per Kolam (sak),Harga Pakan per Kolam (Rp),Harga Pakan per Sak (Rp),Total Hasil Panen (kg),Hasil Panen (Rp),Harga Ikan per kg (Rp),Masa Budidaya (bulan),Tanggal Panen,Berat Ikan per Ekor (gram)
1,Ikan Gurame,4000,4000,3600000,900,1/1/2023,88,27720000,315000,1938,45499000,23500,10,11/1/2024,600-800 gram
2,Ikan Gurame,4000,4000,4000000,1000,1/3/2023,87,27405000,315000,2134,52230000,24500,10,10/7/2023,600-800 gram
3,Ikan Gurami,4000,4000,3600000,900,1/2/2023,88,27720000,315000,1936,45499000,23500,12,1/12/2024,600-800 gram
4,Ikan Gurami,4000,4000,3200000,800,3/4/2023,89,28035000,315000,1992,47808000,24000,11,2/7/2024,600-800 gram
5,Ikan Gurami,4000,4000,3200000,800,2/3/2023,86,26660000,310000,1900,43700000,23000,12,2/18/2024,600-800 gram
6,Ikan Gurami,4000,4000,4800000,1200,4/14/2023,89,28480000,320000,2000,48000000,24000,11,3/9/2024,600-800 gram
7,Ikan Gurami,4000,4000,4000000,1000,5/23/2023,90,29700000,330000,2100,52500000,25000,12,5/1/2024,600-800 gram
8,Ikan Gurami,4000,4000,4400000,1100,6/9/2023,93,31620000,340000,1950,44850000,23000,11,5/11/2024,600-800 gram
9,Ikan Gurami,4000,4000,4000000,1000,6/12/2023,94,30550000,325000,2050,49200000,24000,11,5/12/2024,600-800 gram
10,Ikan Gurami,4000,4000,3600000,900,7/13/2023,88,27720000,315000,2000,50000000,25000,11,7/20/2024,600-800 gram
11,Ikan Gurami,4000,4000,4000000,1000,7/12/2023,87,28710000,330000,1900,43700000,23000,11,7/21/2024,600-800 gram
12,Ikan Gurami,4000,4000,4400000,1100,8/12/2023,91,30415000,335000,2100,52500000,25000,12,8/12/2024,600-800 gram
